iter	Passed	Remaining
948	7516	12285
949	7525	12278
950	7533	12270
951	7541	12263
952	7550	12256
953	7558	12249
954	7567	12242
955	7575	12235
956	7583	12227
957	7591	12219
958	7600	12212
959	7608	12206
960	7617	12199
961	7625	12191
962	7634	12184
963	7642	12176
964	7650	12169
965	7658	12162
966	7666	12154
967	7674	12146
968	7683	12139
969	7691	12132
970	7699	12124
971	7706	12114
972	7714	12106
973	7721	12097
974	7728	12087
975	7735	12078
976	7742	12069
977	7749	12060
978	7757	12051
979	7764	12043
980	7771	12034
981	7778	12024
982	7785	12015
983	7793	12006
984	7800	11997
985	7807	11988
986	7814	11979
987	7822	11971
988	7829	11962
989	7836	11953
990	7844	11944
991	7851	11936
992	7859	11927
993	7866	11918
994	7874	11909
995	7881	11901
996	7888	11892
997	7895	11883
998	7903	11874
999	7910	11865
1000	7918	11858
1001	7925	11849
1002	7934	11841
1003	7942	11834
1004	7949	11826
1005	7956	11816
1006	7964	11808
1007	7971	11799
1008	7978	11790
1009	7986	11781
1010	7993	11773
1011	8000	11764
1012	8008	11755
1013	8015	11746
1014	8023	11738
1015	8030	11729
1016	8037	11720
1017	8045	11712
1018	8052	11703
1019	8059	11694
1020	8066	11685
1021	8074	11676
1022	8081	11667
1023	8088	11659
1024	8096	11650
1025	8103	11641
1026	8110	11632
1027	8118	11624
1028	8125	11616
1029	8133	11607
1030	8140	11598
1031	8147	11590
1032	8155	11581
1033	8162	11572
1034	8169	11564
1035	8177	11555
1036	8184	11546
1037	8191	11537
1038	8198	11528
1039	8205	11519
1040	8213	11510
1041	8220	11501
1042	8227	11493
1043	8234	11484
1044	8241	11475
1045	8249	11466
1046	8256	11457
1047	8263	11448
1048	8271	11440
1049	8278	11432
1050	8285	11423
1051	8292	11414
1052	8300	11405
1053	8307	11397
1054	8315	11389
1055	8322	11380
1056	8330	11372
1057	8337	11363
1058	8344	11354
1059	8352	11346
1060	8359	11337
1061	8367	11329
1062	8374	11320
1063	8381	11312
1064	8389	11303
1065	8396	11294
1066	8403	11285
1067	8410	11277
1068	8417	11268
1069	8425	11260
1070	8433	11252
1071	8442	11246
1072	8450	11238
1073	8459	11231
1074	8467	11224
1075	8476	11217
1076	8483	11209
1077	8492	11202
1078	8500	11195
1079	8509	11187
1080	8517	11180
1081	8525	11173
1082	8534	11166
1083	8541	11158
1084	8550	11151
1085	8558	11143
1086	8567	11136
1087	8575	11129
1088	8584	11122
1089	8592	11115
1090	8601	11108
1091	8610	11101
1092	8618	11094
1093	8626	11086
1094	8633	11078
1095	8641	11069
1096	8648	11060
1097	8655	11051
1098	8663	11043
1099	8670	11035
1100	8677	11026
1101	8685	11017
1102	8692	11009
1103	8699	11000
1104	8706	10991
1105	8714	10983
1106	8721	10975
1107	8729	10966
1108	8736	10958
1109	8744	10950
1110	8752	10942
1111	8759	10933
1112	8766	10924
1113	8773	10915
1114	8780	10906
1115	8788	10898
1116	8795	10889
1117	8802	10881
1118	8809	10872
1119	8817	10863
1120	8824	10855
1121	8831	10846
1122	8839	10838
1123	8846	10829
1124	8854	10821
1125	8861	10813
1126	8869	10805
1127	8876	10797
1128	8883	10787
1129	8890	10778
1130	8898	10770
1131	8905	10762
1132	8913	10754
1133	8921	10747
1134	8929	10738
1135	8936	10729
1136	8943	10721
1137	8950	10712
1138	8958	10704
1139	8965	10695
1140	8972	10687
1141	8980	10679
1142	8987	10670
1143	8995	10662
1144	9002	10653
1145	9009	10645
1146	9017	10636
1147	9024	10628
1148	9031	10619
1149	9038	10610
1150	9046	10602
1151	9053	10594
1152	9060	10585
1153	9067	10576
1154	9075	10568
1155	9082	10560
1156	9090	10551
1157	9097	10543
1158	9104	10534
1159	9112	10527
1160	9120	10518
1161	9127	10509
1162	9134	10501
1163	9142	10492
1164	9149	10484
1165	9157	10476
1166	9164	10468
1167	9172	10460
1168	9179	10451
1169	9187	10443
1170	9194	10434
1171	9201	10426
1172	9208	10417
1173	9215	10409
1174	9223	10400
1175	9230	10392
1176	9237	10383
1177	9244	10374
1178	9252	10366
1179	9259	10358
1180	9267	10349
1181	9274	10341
1182	9281	10333
1183	9289	10324
1184	9296	10316
1185	9303	10307
1186	9311	10299
1187	9318	10291
1188	9325	10282
1189	9332	10273
1190	9340	10265
1191	9347	10257
1192	9354	10248
1193	9361	10240
1194	9369	10231
1195	9376	10223
1196	9384	10215
1197	9391	10206
1198	9398	10198
1199	9406	10190
1200	9413	10181
1201	9420	10172
1202	9427	10164
1203	9434	10155
1204	9442	10147
1205	9449	10139
1206	9457	10131
1207	9464	10123
1208	9472	10114
1209	9479	10106
1210	9487	10098
1211	9494	10090
1212	9502	10081
1213	9508	10072
1214	9516	10064
1215	9523	10056
1216	9531	10048
1217	9538	10039
1218	9545	10031
1219	9552	10022
1220	9560	10014
1221	9567	10005
1222	9575	9997
1223	9582	9989
1224	9589	9981
1225	9596	9972
1226	9604	9964
1227	9611	9956
1228	9618	9947
1229	9626	9939
1230	9633	9930
1231	9640	9922
1232	9647	9913
1233	9655	9906
1234	9662	9897
1235	9670	9889
1236	9677	9880
1237	9684	9872
1238	9692	9864
1239	9699	9856
1240	9707	9847
1241	9714	9839
1242	9721	9831
1243	9729	9823
1244	9737	9815
1245	9744	9807
1246	9751	9798
1247	9759	9790
1248	9766	9782
1249	9774	9774
1250	9781	9766
1251	9788	9757
1252	9797	9750
1253	9805	9742
1254	9812	9734
1255	9819	9725
1256	9826	9717
1257	9834	9709
1258	9841	9700
1259	9848	9692
1260	9855	9683
1261	9863	9675
1262	9870	9666
1263	9877	9658
1264	9884	9650
1265	9892	9641
1266	9899	9633
1267	9906	9625
1268	9913	9616
1269	9921	9609
1270	9928	9600
1271	9936	9592
1272	9943	9583
1273	9950	9575
1274	9957	9567
1275	9965	9559
1276	9972	9550
1277	9980	9542
1278	9987	9534
1279	9994	9526
1280	10002	9518
1281	10008	9509
1282	10016	9500
1283	10023	9492
1284	10031	9484
1285	10038	9476
1286	10045	9468
1287	10053	9459
1288	10060	9451
1289	10067	9442
1290	10074	9434
1291	10081	9426
1292	10089	9418
1293	10096	9409
1294	10103	9401
1295	10111	9393
1296	10118	9385
1297	10126	9377
1298	10133	9368
1299	10140	9360
1300	10147	9352
1301	10154	9343
1302	10162	9335
1303	10169	9327
1304	10177	9319
1305	10184	9311
1306	10191	9302
1307	10199	9295
1308	10206	9286
1309	10214	9278
1310	10221	9270
1311	10229	9262
1312	10236	9254
1313	10244	9246
1314	10251	9237
1315	10258	9229
1316	10265	9221
1317	10272	9212
1318	10280	9204
1319	10287	9196
1320	10294	9188
1321	10302	9179
1322	10309	9171
1323	10317	9163
1324	10325	9156
1325	10332	9148
1326	10339	9140
1327	10347	9132
1328	10355	9124
1329	10362	9116
1330	10369	9107
1331	10376	9099
1332	10384	9090
1333	10391	9082
1334	10398	9074
1335	10405	9066
1336	10413	9058
1337	10421	9050
1338	10428	9041
1339	10435	9033
1340	10443	9025
1341	10451	9018
1342	10459	9010
1343	10466	9002
1344	10473	8994
1345	10480	8985
1346	10488	8977
1347	10495	8969
1348	10501	8960
1349	10509	8952
1350	10517	8944
1351	10524	8936
1352	10531	8928
1353	10539	8920
1354	10546	8911
1355	10553	8903
1356	10561	8895
1357	10568	8887
1358	10575	8879
1359	10583	8871
1360	10590	8862
1361	10597	8854
1362	10605	8847
1363	10612	8838
